ranking;nome_urna_candidato;sigla_partido;votos_2022;votos_2018;genero;grau_instrucao;cor_raca;ocupacao
1;EDUARDO SUPLICY;PT;807015;;MASCULINO;SUPERIOR COMPLETO;BRANCA;VEREADOR
2;CARLOS GIANNAZI;PSOL;276811;218705;MASCULINO;SUPERIOR COMPLETO;BRANCA;DEPUTADO
3;PAULA DA BANCADA FEMINISTA;PSOL;259771;;FEMININO;SUPERIOR COMPLETO;PRETA;ADVOGADO
4;BRUNO ZAMBELLI;PL;235305;;MASCULINO;SUPERIOR COMPLETO;BRANCA;OUTROS
5;MAJOR MECCA;PL;224462;131531;MASCULINO;SUPERIOR COMPLETO;BRANCA;DEPUTADO
6;TOMÉ ABDUCH;REP;221656;;MASCULINO;SUPERIOR COMPLETO;BRANCA;ENGENHEIRO
7;ANDRÉ DO PRADO;PL;216268;123313;MASCULINO;SUPERIOR COMPLETO;BRANCA;DEPUTADO
8;TENENTE COIMBRA;PL;209705;24109;MASCULINO;SUPERIOR COMPLETO;BRANCA;DEPUTADO
9;DELEGADO OLIM;PP;201348;161569;MASCULINO;SUPERIOR COMPLETO;BRANCA;DEPUTADO
10;ANA CAROLINA SERRA;CID;198698;;FEMININO;SUPERIOR COMPLETO;BRANCA;ADVOGADO
11;MILTON LEITE FILHO;UNIÃO;198429;105492;MASCULINO;ENSINO MÉDIO COMPLETO;PARDA;DEPUTADO
12;GIL DINIZ;PL;196215;214037;MASCULINO;SUPERIOR INCOMPLETO;BRANCA;DEPUTADO
13;BRUNA FURLAN;PSDB;195436;;FEMININO;SUPERIOR COMPLETO;BRANCA;DEPUTADO
14;CAPITÃO CONTE LOPES;PL;192454;116806;MASCULINO;SUPERIOR COMPLETO;BRANCA;DEPUTADO
15;ITAMAR BORGES;MDB;183480;82185;MASCULINO;SUPERIOR COMPLETO;BRANCA;DEPUTADO
16;MARCOS DAMASIO;PL;183219;81695;MASCULINO;SUPERIOR COMPLETO;BRANCA;DEPUTADO
17;CARLOS CEZAR;PL;180690;115566;MASCULINO;SUPERIOR COMPLETO;BRANCA;DEPUTADO
18;CARLA MORANDO;PSDB;177773;89636;FEMININO;SUPERIOR COMPLETO;BRANCA;EMPRESÁRIO
19;JORGE WILSON XERIFE CONSUMIDOR;REP;177614;177414;MASCULINO;SUPERIOR COMPLETO;BRANCA;JORNALISTA E REDATOR
20;EDIANE MARIA;PSOL;175617;;FEMININO;LÊ E ESCREVE;PRETA;EMPREGADO DOMÉSTICO
21;MARTA COSTA;PSD;170541;117156;FEMININO;SUPERIOR COMPLETO;BRANCA;SERVIDOR PÚBLICO ESTADUAL
22;EMÍDIO DE SOUZA;PT;157834;65898;MASCULINO;SUPERIOR COMPLETO;BRANCA;DEPUTADO
23;PROFESSORA BEBEL;PT;155983;87169;FEMININO;SUPERIOR COMPLETO;BRANCA;DEPUTADO
24;GUTO ZACARIAS;UNIÃO;152481;;MASCULINO;ENSINO MÉDIO COMPLETO;PRETA;OUTROS
25;GERSON PESSOA;PODE;143704;;MASCULINO;SUPERIOR COMPLETO;PARDA;EMPRESÁRIO
26;ENIO TATTO;PT;142785;86744;MASCULINO;SUPERIOR COMPLETO;BRANCA;DEPUTADO
27;LUIZ FERNANDO;PT;141017;85271;MASCULINO;SUPERIOR INCOMPLETO;BRANCA;EMPRESÁRIO
28;ROGÉRIO NOGUEIRA;PSDB;139756;89040;MASCULINO;ENSINO MÉDIO COMPLETO;BRANCA;EMPRESÁRIO
29;OSEIAS DE MADUREIRA;PSD;137205;;MASCULINO;ENSINO MÉDIO COMPLETO;BRANCA;OUTROS
